CensusNo|Name|Address|Telephone|Province|District|Zone|Division
00048|THURSTAN COLLEGE|COLOMBO-07|0112695423|1. Western|Colombo|Colombo|Borella
00049|ST.MATHEW'S COLLEGE|DEMTAGODA,COL-09|0112698709|1. Western|Colombo|Colombo|Borella
00050|ANANDA B.V.|COL-10|0112695385|1. Western|Colombo|Colombo|Borella
00051|GOTHAMI B.V.|TEMPLE RD,COL-10.|0112691576|1. Western|Colombo|Colombo|Borella
00052|ST.JOHN'S COLLEGE|DEMATAGODA,COL-09|0112696951|1. Western|Colombo|Colombo|Borella
00053|SEEVALI M.M.V.|SEEVALI LANE,BORELLA,COL-08.|0112695884|1. Western|Colombo|Colombo|Borella
00054|SUSAMAYAWARDHANA M.V.|AUSTIN PLACE,BORELLA|0112694302|1. Western|Colombo|Colombo|Borella
00055|ANURUDDHA B.V.|BASELINE RD.,COL-09|0112694930|1. Western|Colombo|Colombo|Borella
00057|YASODARA B.V.|KYNSY ROAD.,COLOMBO-08|0112693985|1. Western|Colombo|Colombo|Borella
00058|PRESBYTERIAN B.V.|REGIENT STREET,COL-10|0112691927|1. Western|Colombo|Colombo|Borella
00059|RATHNAWALI B.M.V.|PARK AVENUE,COL-08|0112692544|1. Western|Colombo|Colombo|Borella
00060|D.S.SENANAYAKE COLLEGE|R.G.SENANAYAKE RD.,COL-07|0112698251|1. Western|Colombo|Colombo|Borella
00061|ALL SAINT'S B.V.|ANANDA RAJAKARUNA MW.,COL-10|0112697881|1. Western|Colombo|Colombo|Borella
00062|VELUWANA COLLEGE|DEMATAGODA,COL-09|0112693334|1. Western|Colombo|Colombo|Borella
00064|ASOKA V.|SRI VIPULASENA MW.,COL-10|0112691075|1. Western|Colombo|Colombo|Borella
00065|C.W.W.KANNANGARA V.|DR.DANISTER DE SILVA MW.,COL-08|0112686112|1. Western|Colombo|Colombo|Borella
00066|DEVI B.V.|SRI JAYAWARDENAPURA MW,COL-08.|0112691857|1. Western|Colombo|Colombo|Colombo - South
00068|ARETHUSA COLLEGE|25,DAYA RD,COL-06.|0112589649|1. Western|Colombo|Colombo|Colombo - South
00069|SRI PARAKRAMABAHU M.V.|NARAHENPITA,COL-05.|0112588652|1. Western|Colombo|Colombo|Colombo - South
00070|MAHAMATHYA M.V.|POLHENGODA,COL-05.|0112515383|1. Western|Colombo|Colombo|Colombo - South
00071|SRI SADDHARMODAYA M.V.|POORWARAMA RD,COL-05.|0112818516|1. Western|Colombo|Colombo|Colombo - South
00072|S.W.R.D.BANDARANAYAKE V.|GOTHAMI RD.,COL-08|0112676565|1. Western|Colombo|Colombo|Colombo - South
00073|VIDYATHILAKA V.|116,THIMBIRIGASYAYA,COL-05.|0112505280|1. Western|Colombo|Colombo|Colombo - South
00074|SIRIMAVO BANDARANAYAKE VIDYALAYA|STANMORE CRECENT,COL-07.|0112582110|1. Western|Colombo|Colombo|Colombo - South
00076|DUDLEY SENANAYAKA V.|PARK RD,COL-05.|0112589558|1. Western|Colombo|Colombo|Colombo - South
00077|ISIPATHANA COLLEGE|COL-05.|0112588526|1. Western|Colombo|Colombo|Colombo - South
00078|LUMBINI V.|HEVELOCK TOWN,COL-05.|0114385235|1. Western|Colombo|Colombo|Colombo - South
00079|MAHANAMA COLLEGE|COL-03.|0112577789|1. Western|Colombo|Colombo|Colombo - South
00080|ST.PAUL'S GIRL'S SCHOOL|LESTER JAMES PEIRIS MW,COL-05.|0112588221|1. Western|Colombo|Colombo|Colombo - South
00081|VISAKHA V.|133,VAJIRA RD,COLOMBO-05.|0112588229|1. Western|Colombo|Colombo|Colombo - South
00082|ST.ANTHONY'S B.M.V.|ST.ANTHONY'S MW.,COL-03|0112573390|1. Western|Colombo|Colombo|Colombo - South
00083|ST.CLARE'S B.V.|1ST CHAPEL LANE,COL-06|0112501836|1. Western|Colombo|Colombo|Colombo - South
00084|LINDSAY B.V.|734,GALLE RD,COL-03.|0112581378|1. Western|Colombo|Colombo|Colombo - South
00087|ST.MARY'S B.M.V.|ALWIS PLACE,COL-03.|0112449973|1. Western|Colombo|Colombo|Colombo - South
00088|ST.MICHAEL'S COLLEGE|KOLLUPITIYA,COL-03.|0112424234|1. Western|Colombo|Colombo|Colombo - South
00090|ST.MARY'S SIN.MIX.V.|DUPLICATION RD,COL-04.|0112502823|1. Western|Colombo|Colombo|Colombo - South
00093|S.DE S.JAYASINGHE CENTRAL COLLEGE|KARAGAMPITIYA,DEHIWELA|0112717070|1. Western|Colombo|Piliyandala|Dehiwala
00094|ST.JOHN'S COLLEGE|HIGH LEVEL RD, NUGEGODA|0112854875|1. Western|Colombo|Piliyandala|Dehiwala
00096|HOLY FAMILY CONVENT|NO.100,GALLE RD,DEHIWELA|0112738901|1. Western|Colombo|Piliyandala|Dehiwala
00097|BUDDHAGHOSHA M.V.|KALUBOWILA,DEHIWELA|0114943364|1. Western|Colombo|Piliyandala|Dehiwala
00098|PRESBYTERIAN GIRL'S SCHOOL|MAJOR L.V.GUNARATHNE MW,DEHIWELA|0112714494|1. Western|Colombo|Piliyandala|Dehiwala
00099|ST.JOSEPH'S GIRLS' SCHOOL|HIGH LEVEL RD,NUGEGODA|0112854172|1. Western|Colombo|Piliyandala|Dehiwala
00100|ST.MARY'S COLLEGE|ATAPATHTHU MW,DEHIWELA|0112733177|1. Western|Colombo|Piliyandala|Dehiwala
00102|METHODIST VIDYALAYA|ANAGARIKA DHARMAPALA MW,DEHIWELA||1. Western|Colombo|Piliyandala|Dehiwala
00103|VIJAYA VIDYALAYA|KARAGAMPITIYA,DEHIWELA||1. Western|Colombo|Piliyandala|Dehiwala
00104|SUBODHA GIRLS' SCHOOL|SUBODHARAMA RD,DEHIWELA|0112719770|1. Western|Colombo|Piliyandala|Dehiwala
00110|BUDDHIST GIRLS' COLLEGE|STATION RD,MT.LAVINIA|0112712619|1. Western|Colombo|Piliyandala|Dehiwala
00111|GIRLS' HIGH SCHOOL|74,HOTEL RD,MOUNT LAVINIA|0112715412|1. Western|Colombo|Piliyandala|Dehiwala
00112|SRI DHARMARAMA M.V.|DHARMARAMA ROAD,RATHMALANA|0717337309|1. Western|Colombo|Piliyandala|Dehiwala
00113|KOTHALAWALAPURA M.V.|RATHMALANA|0112611751|1. Western|Colombo|Piliyandala|Dehiwala
00114|SOUTH COLOMBO SCIENCE COLLEGE|TEMPLERS ROAD MOUNT LAVINIA|0112713033|1. Western|Colombo|Piliyandala|Dehiwala
00116|SHASTRANANDA M.V.|KAWDANA BROADWAY DEHIWALA|0112739192|1. Western|Colombo|Piliyandala|Dehiwala
00118|ST'ANTHONY'S JUNIOR SCHOOL|ST'ANTHONY'S ROAD MT.LAVINIA||1. Western|Colombo|Piliyandala|Dehiwala
00119|LALITH ATHULATHMUDALI V.|HENA ROAD MOUNT LAVINIA|0112714221|1. Western|Colombo|Piliyandala|Dehiwala
00120|SRI ATHTHADASSI V.|JAYASUMANARAMA ROAD RATMALANA||1. Western|Colombo|Piliyandala|Dehiwala
00122|ROMAN CATHOLIC SCHOOL|ST'RITA'S ROAD RATMALANA||1. Western|Colombo|Piliyandala|Dehiwala
00123|KANDAWALA NAVODYA M.V.|KANDAWALA ROAD RATHMALANA|0112632136|1. Western|Colombo|Piliyandala|Dehiwala
00126|SRI PUNYAKAMI VIDYALAYA|GNANATHILAKA ROAD,MOUNT LAVINIA|0112712264|1. Western|Colombo|Piliyandala|Dehiwala
00129|KOLONNAWA BALIKA VIDYALAYA|SUGUNASARA ROAD KOLONNAWA|0112572017|1. Western|Colombo|Sri Jaya' pura|Kolonnawa
00130|SEDAWATHTHA SIDDHARTHA CENTRAL COLLEGE|WELLAMPITIYA|0112532599|1. Western|Colombo|Sri Jaya' pura|Kolonnawa
00131|SRI RAJASINGHE CENTRAL COLLEGE|KUDABUTHGAMUWA;MULLERIYAWA NEW TOWN|0112419137|1. Western|Colombo|Sri Jaya' pura|Kolonnawa
00132|SRI RAHULA MAHA VIDYALAYA|MULLERIYAWA NEW TOWN|0112578097|1. Western|Colombo|Sri Jaya' pura|Kolonnawa
00133|TERENCE.N.DE SILVA MAHA VIDYALAYA|KOLONNAWA|0112531645|1. Western|Colombo|Sri Jaya' pura|Kolonnawa
00134|GOTHTUWA MAHA VIDYALAYA|GOTHATUWA:ANGODA|0112530886|1. Western|Colombo|Sri Jaya' pura|Kolonnawa
00136|AMBETHLE SAMUDRADEVI BALIKA VIDYALAYA|MULLERIYAWA - NEW TOWN|0112578747|1. Western|Colombo|Sri Jaya' pura|Kolonnawa
00137|KUDABUTHGAMUWA DHARMAPALA MAHA VIDYALAYA|MULLERIYAWA NEW TOWN|0115730798|1. Western|Colombo|Sri Jaya' pura|Kolonnawa
00138|SOMSDEVI BALIKA VIDYALAYA|KUDABUTHGAMUWA|0112419065|1. Western|Colombo|Sri Jaya' pura|Kolonnawa
00139|GAMINI VIDYALAYA|KOTUEILA,WELLAMPITIYA|0112572749|1. Western|Colombo|Sri Jaya' pura|Kolonnawa
00140|ST.JOSEPH'S COLLEGE|KOLONNAWA,WELLAMPITIYA|0112531915|1. Western|Colombo|Sri Jaya' pura|Kolonnawa
00143|WERAGODA VIDYALAYA|WELLAMPITIYA|0718189352|1. Western|Colombo|Sri Jaya' pura|Kolonnawa
00147|HENRY OLCOTT MAHA VIDYLAYA|SALAMULLA;KOLONNAWA|0112531177|1. Western|Colombo|Sri Jaya' pura|Kolonnawa
00148|ANANDA SASTRALAYA|KOTTE|0112828489|1. Western|Colombo|Sri Jaya' pura|Nugegoda
00149|ANANDA BALIKA MAHA VIDYALAYA.|PAGODA ROAD, KOTTE.|0113086178|1. Western|Colombo|Sri Jaya' pura|Nugegoda
00150|ANULA VIDYALAYA|NUGEGODA.|0112852980|1. Western|Colombo|Sri Jaya' pura|Nugegoda
00151|SAMUDRADEVI BALIKA VIDYALAYA|NO.03, NUGEGODA|0112852688|1. Western|Colombo|Sri Jaya' pura|Nugegoda
00152|SRI JAYAWARDHANAPURA MAHA VIDYALAYA.|MISSION LANE,KOTTE.|0112862528|1. Western|Colombo|Sri Jaya' pura|Nugegoda
00153|SRI JAYAWARDANAPURA BALIKA VIDYALAYA|MISSION ROAD, KOTTE|0112862554|1. Western|Colombo|Sri Jaya' pura|Nugegoda
00154|ST.THOMAS COLLEGE|KOTTE|0112852083|1. Western|Colombo|Sri Jaya' pura|Nugegoda
00156|SIRI PERAKUMBA MAHA VIDYALAYA.|OBESEKARAPURA, RAJAGIRIYA.|0112879325|1. Western|Colombo|Sri Jaya' pura|Nugegoda
00157|JANADHIPATHI BALIKA VIDYALAYA|SCHOOL LANE, NAWALA,RAJAGIRIYA|0112875707|1. Western|Colombo|Sri Jaya' pura|Nugegoda
00158|HEWAVITHARANA MAHA VIDYALAYA.|RAJAGIRIYA ROAD, RAJAGIRIYA|0112867326|1. Western|Colombo|Sri Jaya' pura|Nugegoda
00165|PRESIDENTS COLLEGE.|KOTTE.|0112864972|1. Western|Colombo|Sri Jaya' pura|Nugegoda
00166|PRINCE OF WALES COLLEGE|MORATUWA|0112645628|1. Western|Colombo|Piliyandala|Moratuwa
00167|PRINCESS OF WALES COLLEGE|RAWATHAWATHTHA MORATUWA|0112645465|1. Western|Colombo|Piliyandala|Moratuwa
00168|MORATU M.V.|MORATUWA|0112645391|1. Western|Colombo|Piliyandala|Moratuwa
00169|DE SOYSA MAHA VIDYALAYA|MORATUWA|0112610421|1. Western|Colombo|Piliyandala|Moratuwa
00170|SRI SUNANDOPANANDA NAVODYA M.V.|EGODAUYANA MORATUWA|0112657506|1. Western|Colombo|Piliyandala|Moratuwa
00173|SRI RAHULA M.V|THELAWALA MOUNT LAVINIA|0112633206|1. Western|Colombo|Piliyandala|Moratuwa
00174|METHODIST HIGH SCHOOL|PUWAKARAMBA,MORATUWA|0112652717|1. Western|Colombo|Piliyandala|Moratuwa
00176|KORALAWELLA ROMAN CATHOLIC SCHOOL|KORALAWELLA, MORATUWA|0722152878|1. Western|Colombo|Piliyandala|Moratuwa
00177|JANAJAYA VIDYALAYA|MORATUWA|0112658754|1. Western|Colombo|Piliyandala|Moratuwa
00178|ST. SEBASTIAN'S GIRLS' SCHOOL|USWATHTHA,MORATUWA|0112644697|1. Western|Colombo|Piliyandala|Moratuwa
00179|ST.ANTHONY'S COLLEGE|KADALANA,MORATUWA|0112653787|1. Western|Colombo|Piliyandala|Moratuwa
00185|WEERAPURAN APPU MODEL SCHOOL|MORATUWA|0112647423|1. Western|Colombo|Piliyandala|Moratuwa
00186|RAWATAWATTA ROMAN CATHOLIC SCHOOL|MORATUWA|0112655113|1. Western|Colombo|Piliyandala|Moratuwa
00187|RAWATHAWATTA METHODIST COLLEGE|CHARLES PLACE RAWATHAWATTA MORATUWA|0112648686|1. Western|Colombo|Piliyandala|Moratuwa
00188|UYANA JUNIOR SCHOOL|LUNAWA,MORATUWA|0718047831|1. Western|Colombo|Piliyandala|Moratuwa
00192|WILLORAWATHTHA GNANISSARA BUDDHIST V.|WILLORAWATHTHA,MORATUWA|0112651624|1. Western|Colombo|Piliyandala|Moratuwa
00200|EGODAUYANA JUNIOR SCHOOL|EGODAUYANA,MORATUWA|0112659228|1. Western|Colombo|Piliyandala|Moratuwa
00201|AL-HIDHAYA M.V.|SRI SANGARAJA MW,COL-10.|0112421477|1. Western|Colombo|Colombo|Colombo - Central
00202|AL IQBAL B.M.V.|N0.60,SIR JAMES PEIRIS MW,COL-02.|0112337718|1. Western|Colombo|Colombo|Colombo - Central
00203|AL NASSER V.|61,ST.JOSEPH ST,GRANPASS,COL-14.|0112334989|1. Western|Colombo|Colombo|Colombo - Central
00204|HAMEED AL HUSSEINIE V.|NO.45,HUSSEINIYA ST,COL-12.|0112435266|1. Western|Colombo|Colombo|Colombo - Central
00205|DARUSSALAM V.|281,JUMMA MASJEED RD,MALIGAWATTA,COL-10.|0112680495|1. Western|Colombo|Colombo|Colombo - Central
00206|T.B.JAYAH ZAHIRA V.|24,SIR JAMES PEIRIS MW,COL-02.|0112300338|1. Western|Colombo|Colombo|Colombo - Central
00207|FATHIMA MUS.B.V.|155,BANDARANAYAKE MW,COL-12.|0112326783|1. Western|Colombo|Colombo|Colombo - Central
00208|KHAIRIYA MUS.B.M.V.|166,DEMATAGODA RD,COL-09.|0112692941|1. Western|Colombo|Colombo|Colombo - Central
00209|ST.SEBASTIAN T.M.V.|108,BELMONT ST,COL-12.|0112390134|1. Western|Colombo|Colombo|Colombo - Central
00210|VIVEKANANDA COLLEGE|N0.57,NEW CHETTY ST,COL-13.|0112431120|1. Western|Colombo|Colombo|Colombo - Central
00211|AL-HIKMA V.|65,ST.SEBESTIAN ST,COL-12.|0112447449|1. Western|Colombo|Colombo|Colombo - Central
00212|THONDAR GOVT.T.V.|102/1,CAPTAIN'S GARDEN,COL-10.|0112680817|1. Western|Colombo|Colombo|Colombo - Central
00213|ST.ANNE'S GIRL'S T.M.V.|VIVEKANANDA HILL,COL-13.|0112342646|1. Western|Colombo|Colombo|Colombo - Central
00214|ST.ANTHONY'S BOYS M.V.|VIVEKANANDA HILL,COL-13.|0112439306|1. Western|Colombo|Colombo|Colombo - Central
00215|KANAPATHY HINDU LADIES M.V.|194,BANDARANAYAKA MW,COL-12.|0112389960|1. Western|Colombo|Colombo|Colombo - Central
00216|HOLY ROSARY T.V.|54,CHURCH ST,COL-02.||1. Western|Colombo|Colombo|Colombo - Central
00218|COLOMBO CENTRAL HINDU M.V.|180,MAHA VIDYALAYA MW,COL-13.|0112338335|1. Western|Colombo|Colombo|Colombo - Central
00219|DR.BADIUDEEN MAHAMUD V.|19,GREEN  LANE,COL-13.|0112424422|1. Western|Colombo|Colombo|Colombo - Central
00220|SIR RAZIK FAREED MUS.B.V.|82,ST.MARY'S RD.,COL-15|0112527055|1. Western|Colombo|Colombo|Colombo - North
00221|HAMZA MUS.V.|74,MUTHUWELLA MW.,COL-15|0112540843|1. Western|Colombo|Colombo|Colombo - North
00222|KALAIMAGAL T.V.|300/4,SIRIMAVO BANDARANAYAKA MW.,COL-14|0112424114|1. Western|Colombo|Colombo|Colombo - North
00223|MAHAWATTA ST.ANTHONY'S T.M.V.|MAHAWATTA RD.,COL-14|0112529081|1. Western|Colombo|Colombo|Colombo - North
00224|GOOD SHEPHERD GIRLS M.V.|WASALA RD,COL-13|0112321870|1. Western|Colombo|Colombo|Colombo - North
00225|MUTWAL HINDU COLLEGE|154,MUTHUWELLA MW.,COL-15|0112526938|1. Western|Colombo|Colombo|Colombo - North
00226|KOTAHENA METHODIST T.V.|200,PICKERINGS RD.,COL-13|0112321132|1. Western|Colombo|Colombo|Colombo - North
00230|VIPULANANTHA T.M.V.|77,VELUWANA RD.,COL-09|0114982717|1. Western|Colombo|Colombo|Borella
00231|AL HIJRA MUS.V.|239,SRI DHAMMA MW.,COL-10|0112678998|1. Western|Colombo|Colombo|Borella
00234|KUMARAUTHAYAM T.V.|HIGHLEVEL RD.,KIRULAPONA,COL-05|0112514511|1. Western|Colombo|Colombo|Colombo - South
00235|RAMAKRISHNA V.|HAVELOCK RD,PAMANKADA,WELLAWARRA,COL-06.|0112586705|1. Western|Colombo|Colombo|Colombo - South
00236|MUSLIM LADIES COLLEGE|BAMBALAPITIYA,COL-04.|0112588666|1. Western|Colombo|Colombo|Colombo - South
00237|HINDU COLLEGE|LORENZE RD,COL-04.|0112586169|1. Western|Colombo|Colombo|Colombo - South
00238|AL AMEEN V.|SIR MAKAN MAKER MW,COL-03.|0112303790|1. Western|Colombo|Colombo|Colombo - South
00239|ST.MARY'S T.M.V.|LAURIES PLACE,BAMBALAPITIYA,COL-04.|0112598118|1. Western|Colombo|Colombo|Colombo - South
00240|KOLLUPITIYA METHODIST G.T.M.V.|59,HUDSON RD.,COL-03||1. Western|Colombo|Colombo|Colombo - South
00241|RAMANATHAN HINDU LADIES COLLEGE|LORENCE RD,COL-04.|0112502228|1. Western|Colombo|Colombo|Colombo - South
00242|NUGEGODA TAMIL M V|STANLEY THILAKARATNA MW NUGEGODA|0112823550|1. Western|Colombo|Piliyandala|Dehiwala
00243|MEELAD MUSLIM VIDYALAYA|NO 9, MOOR ROAD,DEHIWALA|0115782668|1. Western|Colombo|Piliyandala|Dehiwala
00244|DEHIWALA TAMIL M.V|33/3 PRESBYTARIAN LANE OFF STATION ROAD DEHIWALA|0114376977|1. Western|Colombo|Piliyandala|Dehiwala
00245|SRI JAYAWARDHANAPURA HINDU VIDYALAYA|OBEYSEKARAPURA ROAD,RAJAGIRIYA|0112864010|1. Western|Colombo|Sri Jaya' pura|Nugegoda
00246|RAJAGIRIYA ROMAN CATHOLIC TAMIL VIDYALAYA.|DHARMAPALA PLACE,RAJAGIRIYA.|0112889338|1. Western|Colombo|Sri Jaya' pura|Nugegoda
00247|ARFATH MUSLIM VIDYALAYA|EGODAUYANA,MODARA,MORATUWA|0112657979|1. Western|Colombo|Piliyandala|Moratuwa
00248|SRI SUBHUTHI NATIONAL SCHOOL|BATTARAMULLA.|0112865945|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00249|SRI RAHULA BALIKA M.V.|MALABE|0112560579|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00250|BOMIRIYA MADYA MAHA VIDYALAYA|KADUWELA|0112539444|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00252|THALAHENA MAHA VIDYALAYA.|THALAHENA,MALABE.|0112789388|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00254|SRI DEWAMITHTHA MAHA VIDYALAYA|DEDIGAMUWA|0112141262|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00255|MAHAMATHYA VIDYALAYA.|RTHURUGIRIYA|0112561250|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00256|KOTHALAWALA MAHA VIDYALAYA|KADUWELA.|0112539069|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00257|KORATHOTA SRI SOMANANDA MAHA VIDYALAYA|KORATHOTA,KADUWELA.|0112408764|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00258|VIDYAWARDANA MAHA VIDYALAYA|THALANGAMA SOUTH,BATTARAMULLA.|0112784588|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00259|VIDYARAJA MAHA VIDYALAYA|HOKANDARA.|0112563266|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00260|WELIVITA ST.MARY'S MAHA VIDYALAYA|WELIVITA,KADUWELA.|0112414219|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00261|SRI INDRAJOTHI VIDYALAYA|BATTARAMULLA.|0112073542|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00262|SRI YASODARA MAHA VIDYALAYA|MALAMBE|0112407360|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00263|PHILIP THILAKAWARDANA M.V.|NAWAGAMUWA, RANALA.|0112408534|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00264|SRI SEELALANKARA VIDYALAYA|PAHALA BOMIRIYA,KADUWELA.|0112548551|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00265|DADIGAMUWA JUNIOR SCHOOL|DADIGAMUWA ,RANALA.|0779762603|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00266|ORUWALA KANISHTA VIDYALAYA|ORUWALA,ATHURUGIRIYA.|0112772934|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00271|BOMIRIYA MUNIDASA KUMARATHUNGE VIDYALAYA|BOMIRIYA,KADUWELA.|0112539232|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00275|SRI SUDARSHANA VIDYALAYA|BATAPOTHA ,BATTARAMULLA.|0115626639|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00276|RATHNA KANISHTA VIDYALAYA|HOKANDARA NORTH,HOKANDARA.|0112156830|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00278|AVERIHENA VIDYALOKA KANISHTA VIDYALAYA|HOKANDARA NORTH,HOKANDARA|0112156796|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00281|M.D.H.JAYAWARDANA MAHA VIDYALAYA|THALANGAMA NORTH,BATTARAMULLA.|0112789659|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00282|BOY'S MODEL SCHOOL|KADUWELA ROAD,MALABE.|0112560056|1. Western|Colombo|Sri Jaya' pura|Kaduwela
00283|WP HO SEETHAWAKA M M V|AVISSAVELLA|0362222438|1. Western|Colombo|Homagama|Hanwella
00284|WP HO KOSGAMA M V|KOSGAMA|0362222973|1. Western|Colombo|Homagama|Hanwella
00285|WP HO ST MARY'S COLLEGE|AVISSAWELLA|0362222781|1. Western|Colombo|Homagama|Hanwella
00286|WP/HO/ST. JOHN BOSCO'S COLLEGE|KALUAGGALA, HANWELLA.|0362255247|1. Western|Colombo|Homagama|Hanwella
00288|ESWATHTHA PANDUKABHAYA MAHA VIDYALAYA|ESWATHTHA (NORTH) PUWAKPITIYA|0362232729|1. Western|Colombo|Homagama|Hanwella
00289|WP HO AKARAVITA M V|AKARAVITA KOSGAMA|0113061033|1. Western|Colombo|Homagama|Hanwella
00290|WP HO PAGNGNAGULA M V|PAGNGNAGULA THUMMODARA|0112361034|1. Western|Colombo|Homagama|Hanwella
