CensusNo|Name|Address|Telephone|Province|District|Zone|Division
00082|ST.ANTHONY'S B.M.V.|ST.ANTHONY'S MW.,COL-03|0112573390|Western|Colombo|Colombo|Colombo - South
00083|ST.CLARE'S B.V.|1ST CHAPEL LANE,COL-06|0112501836|Western|Colombo|Colombo|Colombo - South
00084|LINDSAY B.V.|734,GALLE RD,COL-03.|0112581378|Western|Colombo|Colombo|Colombo - South
00087|ST.MARY'S B.M.V.|ALWIS PLACE,COL-03.|0112449973|Western|Colombo|Colombo|Colombo - South
00088|ST.MICHAEL'S COLLEGE|KOLLUPITIYA,COL-03.|0112424234|Western|Colombo|Colombo|Colombo - South
00090|ST.MARY'S SIN.MIX.V.|DUPLICATION RD,COL-04.|0112502823|Western|Colombo|Colombo|Colombo - South
00093|S.DE S.JAYASINGHE CENTRAL COLLEGE|KARAGAMPITIYA,DEHIWELA|0112717070|Western|Colombo|Piliyandala|Dehiwala
00094|ST.JOHN'S COLLEGE|HIGH LEVEL RD, NUGEGODA|0112854875|Western|Colombo|Piliyandala|Dehiwala
00096|HOLY FAMILY CONVENT|NO.100,GALLE RD,DEHIWELA|0112738901|Western|Colombo|Piliyandala|Dehiwala
00097|BUDDHAGHOSHA M.V.|KALUBOWILA,DEHIWELA|0114943364|Western|Colombo|Piliyandala|Dehiwala
00098|PRESBYTERIAN GIRL'S SCHOOL|MAJOR L.V.GUNARATHNE MW,DEHIWELA|0112714494|Western|Colombo|Piliyandala|Dehiwala
00099|ST.JOSEPH'S GIRLS' SCHOOL|HIGH LEVEL RD,NUGEGODA|0112854172|Western|Colombo|Piliyandala|Dehiwala
00100|ST.MARY'S COLLEGE|ATAPATHTHU MW,DEHIWELA|0112733177|Western|Colombo|Piliyandala|Dehiwala
00102|METHODIST VIDYALAYA|ANAGARIKA DHARMAPALA MW,DEHIWELA||Western|Colombo|Piliyandala|Dehiwala
00103|VIJAYA VIDYALAYA|KARAGAMPITIYA,DEHIWELA||Western|Colombo|Piliyandala|Dehiwala
00104|SUBODHA GIRLS' SCHOOL|SUBODHARAMA RD,DEHIWELA|0112719770|Western|Colombo|Piliyandala|Dehiwala
00110|BUDDHIST GIRLS' COLLEGE|STATION RD,MT.LAVINIA|0112712619|Western|Colombo|Piliyandala|Dehiwala
00111|GIRLS' HIGH SCHOOL|74,HOTEL RD,MOUNT LAVINIA|0112715412|Western|Colombo|Piliyandala|Dehiwala
00112|SRI DHARMARAMA M.V.|DHARMARAMA ROAD,RATHMALANA|0717337309|Western|Colombo|Piliyandala|Dehiwala
00113|KOTHALAWALAPURA M.V.|RATHMALANA|0112611751|Western|Colombo|Piliyandala|Dehiwala
00114|SOUTH COLOMBO SCIENCE COLLEGE|TEMPLERS ROAD MOUNT LAVINIA|0112713033|Western|Colombo|Piliyandala|Dehiwala
00116|SHASTRANANDA M.V.|KAWDANA BROADWAY DEHIWALA|0112739192|Western|Colombo|Piliyandala|Dehiwala
00118|ST'ANTHONY'S JUNIOR SCHOOL|ST'ANTHONY'S ROAD MT.LAVINIA||Western|Colombo|Piliyandala|Dehiwala
00119|LALITH ATHULATHMUDALI V.|HENA ROAD MOUNT LAVINIA|0112714221|Western|Colombo|Piliyandala|Dehiwala
00120|SRI ATHTHADASSI V.|JAYASUMANARAMA ROAD RATMALANA||Western|Colombo|Piliyandala|Dehiwala
00122|ROMAN CATHOLIC SCHOOL|ST'RITA'S ROAD RATMALANA||Western|Colombo|Piliyandala|Dehiwala
00123|KANDAWALA NAVODYA M.V.|KANDAWALA ROAD RATHMALANA|0112632136|Western|Colombo|Piliyandala|Dehiwala
00126|SRI PUNYAKAMI VIDYALAYA|GNANATHILAKA ROAD,MOUNT LAVINIA|0112712264|Western|Colombo|Piliyandala|Dehiwala
00129|KOLONNAWA BALIKA VIDYALAYA|SUGUNASARA ROAD KOLONNAWA|0112572017|Western|Colombo|Sri Jaya' pura|Kolonnawa
00130|SEDAWATHTHA SIDDHARTHA CENTRAL COLLEGE|WELLAMPITIYA|0112532599|Western|Colombo|Sri Jaya' pura|Kolonnawa
00131|SRI RAJASINGHE CENTRAL COLLEGE|KUDABUTHGAMUWA;MULLERIYAWA NEW TOWN|0112419137|Western|Colombo|Sri Jaya' pura|Kolonnawa
00132|SRI RAHULA MAHA VIDYALAYA|MULLERIYAWA NEW TOWN|0112578097|Western|Colombo|Sri Jaya' pura|Kolonnawa
00133|TERENCE.N.DE SILVA MAHA VIDYALAYA|KOLONNAWA|0112531645|Western|Colombo|Sri Jaya' pura|Kolonnawa
00134|GOTHTUWA MAHA VIDYALAYA|GOTHATUWA:ANGODA|0112530886|Western|Colombo|Sri Jaya' pura|Kolonnawa
00136|AMBETHLE SAMUDRADEVI BALIKA VIDYALAYA|MULLERIYAWA - NEW TOWN|0112578747|Western|Colombo|Sri Jaya' pura|Kolonnawa
00137|KUDABUTHGAMUWA DHARMAPALA MAHA VIDYALAYA|MULLERIYAWA NEW TOWN|0115730798|Western|Colombo|Sri Jaya' pura|Kolonnawa
00138|SOMSDEVI BALIKA VIDYALAYA|KUDABUTHGAMUWA|0112419065|Western|Colombo|Sri Jaya' pura|Kolonnawa
00139|GAMINI VIDYALAYA|KOTUEILA,WELLAMPITIYA|0112572749|Western|Colombo|Sri Jaya' pura|Kolonnawa
00140|ST.JOSEPH'S COLLEGE|KOLONNAWA,WELLAMPITIYA|0112531915|Western|Colombo|Sri Jaya' pura|Kolonnawa
00143|WERAGODA VIDYALAYA|WELLAMPITIYA|0718189352|Western|Colombo|Sri Jaya' pura|Kolonnawa
00147|HENRY OLCOTT MAHA VIDYLAYA|SALAMULLA;KOLONNAWA|0112531177|Western|Colombo|Sri Jaya' pura|Kolonnawa
00148|ANANDA SASTRALAYA|KOTTE|0112828489|Western|Colombo|Sri Jaya' pura|Nugegoda
00149|ANANDA BALIKA MAHA VIDYALAYA.|PAGODA ROAD, KOTTE.|0113086178|Western|Colombo|Sri Jaya' pura|Nugegoda
00150|ANULA VIDYALAYA|NUGEGODA.|0112852980|Western|Colombo|Sri Jaya' pura|Nugegoda
00151|SAMUDRADEVI BALIKA VIDYALAYA|NO.03, NUGEGODA|0112852688|Western|Colombo|Sri Jaya' pura|Nugegoda
00152|SRI JAYAWARDHANAPURA MAHA VIDYALAYA.|MISSION LANE,KOTTE.|0112862528|Western|Colombo|Sri Jaya' pura|Nugegoda
00153|SRI JAYAWARDANAPURA BALIKA VIDYALAYA|MISSION ROAD, KOTTE|0112862554|Western|Colombo|Sri Jaya' pura|Nugegoda
00154|ST.THOMAS COLLEGE|KOTTE|0112852083|Western|Colombo|Sri Jaya' pura|Nugegoda
00156|SIRI PERAKUMBA MAHA VIDYALAYA.|OBESEKARAPURA, RAJAGIRIYA.|0112879325|Western|Colombo|Sri Jaya' pura|Nugegoda
00157|JANADHIPATHI BALIKA VIDYALAYA|SCHOOL LANE, NAWALA,RAJAGIRIYA|0112875707|Western|Colombo|Sri Jaya' pura|Nugegoda
00158|HEWAVITHARANA MAHA VIDYALAYA.|RAJAGIRIYA ROAD, RAJAGIRIYA|0112867326|Western|Colombo|Sri Jaya' pura|Nugegoda
00165|PRESIDENTS COLLEGE.|KOTTE.|0112864972|Western|Colombo|Sri Jaya' pura|Nugegoda
00166|PRINCE OF WALES COLLEGE|MORATUWA|0112645628|Western|Colombo|Piliyandala|Moratuwa
00167|PRINCESS OF WALES COLLEGE|RAWATHAWATHTHA MORATUWA|0112645465|Western|Colombo|Piliyandala|Moratuwa
00168|MORATU M.V.|MORATUWA|0112645391|Western|Colombo|Piliyandala|Moratuwa
00169|DE SOYSA MAHA VIDYALAYA|MORATUWA|0112610421|Western|Colombo|Piliyandala|Moratuwa
00170|SRI SUNANDOPANANDA NAVODYA M.V.|EGODAUYANA MORATUWA|0112657506|Western|Colombo|Piliyandala|Moratuwa
00173|SRI RAHULA M.V|THELAWALA MOUNT LAVINIA|0112633206|Western|Colombo|Piliyandala|Moratuwa
00174|METHODIST HIGH SCHOOL|PUWAKARAMBA,MORATUWA|0112652717|Western|Colombo|Piliyandala|Moratuwa
00176|KORALAWELLA ROMAN CATHOLIC SCHOOL|KORALAWELLA, MORATUWA|0722152878|Western|Colombo|Piliyandala|Moratuwa
00177|JANAJAYA VIDYALAYA|MORATUWA|0112658754|Western|Colombo|Piliyandala|Moratuwa
00178|ST. SEBASTIAN'S GIRLS' SCHOOL|USWATHTHA,MORATUWA|0112644697|Western|Colombo|Piliyandala|Moratuwa
00179|ST.ANTHONY'S COLLEGE|KADALANA,MORATUWA|0112653787|Western|Colombo|Piliyandala|Moratuwa
00185|WEERAPURAN APPU MODEL SCHOOL|MORATUWA|0112647423|Western|Colombo|Piliyandala|Moratuwa
00186|RAWATAWATTA ROMAN CATHOLIC SCHOOL|MORATUWA|0112655113|Western|Colombo|Piliyandala|Moratuwa
00187|RAWATHAWATTA METHODIST COLLEGE|CHARLES PLACE RAWATHAWATTA MORATUWA|0112648686|Western|Colombo|Piliyandala|Moratuwa
00188|UYANA JUNIOR SCHOOL|LUNAWA,MORATUWA|0718047831|Western|Colombo|Piliyandala|Moratuwa
00192|WILLORAWATHTHA GNANISSARA BUDDHIST V.|WILLORAWATHTHA,MORATUWA|0112651624|Western|Colombo|Piliyandala|Moratuwa
00200|EGODAUYANA JUNIOR SCHOOL|EGODAUYANA,MORATUWA|0112659228|Western|Colombo|Piliyandala|Moratuwa
00201|AL-HIDHAYA M.V.|SRI SANGARAJA MW,COL-10.|0112421477|Western|Colombo|Colombo|Colombo - Central
00202|AL IQBAL B.M.V.|N0.60,SIR JAMES PEIRIS MW,COL-02.|0112337718|Western|Colombo|Colombo|Colombo - Central
00203|AL NASSER V.|61,ST.JOSEPH ST,GRANPASS,COL-14.|0112334989|Western|Colombo|Colombo|Colombo - Central
00204|HAMEED AL HUSSEINIE V.|NO.45,HUSSEINIYA ST,COL-12.|0112435266|Western|Colombo|Colombo|Colombo - Central
00205|DARUSSALAM V.|281,JUMMA MASJEED RD,MALIGAWATTA,COL-10.|0112680495|Western|Colombo|Colombo|Colombo - Central
00206|T.B.JAYAH ZAHIRA V.|24,SIR JAMES PEIRIS MW,COL-02.|0112300338|Western|Colombo|Colombo|Colombo - Central
00207|FATHIMA MUS.B.V.|155,BANDARANAYAKE MW,COL-12.|0112326783|Western|Colombo|Colombo|Colombo - Central
00208|KHAIRIYA MUS.B.M.V.|166,DEMATAGODA RD,COL-09.|0112692941|Western|Colombo|Colombo|Colombo - Central
00209|ST.SEBASTIAN T.M.V.|108,BELMONT ST,COL-12.|0112390134|Western|Colombo|Colombo|Colombo - Central
00210|VIVEKANANDA COLLEGE|N0.57,NEW CHETTY ST,COL-13.|0112431120|Western|Colombo|Colombo|Colombo - Central
00211|AL-HIKMA V.|65,ST.SEBESTIAN ST,COL-12.|0112447449|Western|Colombo|Colombo|Colombo - Central
00212|THONDAR GOVT.T.V.|102/1,CAPTAIN'S GARDEN,COL-10.|0112680817|Western|Colombo|Colombo|Colombo - Central
00213|ST.ANNE'S GIRL'S T.M.V.|VIVEKANANDA HILL,COL-13.|0112342646|Western|Colombo|Colombo|Colombo - Central
00214|ST.ANTHONY'S BOYS M.V.|VIVEKANANDA HILL,COL-13.|0112439306|Western|Colombo|Colombo|Colombo - Central
00215|KANAPATHY HINDU LADIES M.V.|194,BANDARANAYAKA MW,COL-12.|0112389960|Western|Colombo|Colombo|Colombo - Central
00216|HOLY ROSARY T.V.|54,CHURCH ST,COL-02.||Western|Colombo|Colombo|Colombo - Central
00218|COLOMBO CENTRAL HINDU M.V.|180,MAHA VIDYALAYA MW,COL-13.|0112338335|Western|Colombo|Colombo|Colombo - Central
00219|DR.BADIUDEEN MAHAMUD V.|19,GREEN  LANE,COL-13.|0112424422|Western|Colombo|Colombo|Colombo - Central
00220|SIR RAZIK FAREED MUS.B.V.|82,ST.MARY'S RD.,COL-15|0112527055|Western|Colombo|Colombo|Colombo - North
00221|HAMZA MUS.V.|74,MUTHUWELLA MW.,COL-15|0112540843|Western|Colombo|Colombo|Colombo - North
00222|KALAIMAGAL T.V.|300/4,SIRIMAVO BANDARANAYAKA MW.,COL-14|0112424114|Western|Colombo|Colombo|Colombo - North
00223|MAHAWATTA ST.ANTHONY'S T.M.V.|MAHAWATTA RD.,COL-14|0112529081|Western|Colombo|Colombo|Colombo - North
00224|GOOD SHEPHERD GIRLS M.V.|WASALA RD,COL-13|0112321870|Western|Colombo|Colombo|Colombo - North
00225|MUTWAL HINDU COLLEGE|154,MUTHUWELLA MW.,COL-15|0112526938|Western|Colombo|Colombo|Colombo - North
00226|KOTAHENA METHODIST T.V.|200,PICKERINGS RD.,COL-13|0112321132|Western|Colombo|Colombo|Colombo - North
00230|VIPULANANTHA T.M.V.|77,VELUWANA RD.,COL-09|0114982717|Western|Colombo|Colombo|Borella
00231|AL HIJRA MUS.V.|239,SRI DHAMMA MW.,COL-10|0112678998|Western|Colombo|Colombo|Borella
00234|KUMARAUTHAYAM T.V.|HIGHLEVEL RD.,KIRULAPONA,COL-05|0112514511|Western|Colombo|Colombo|Colombo - South
00235|RAMAKRISHNA V.|HAVELOCK RD,PAMANKADA,WELLAWARRA,COL-06.|0112586705|Western|Colombo|Colombo|Colombo - South
00236|MUSLIM LADIES COLLEGE|BAMBALAPITIYA,COL-04.|0112588666|Western|Colombo|Colombo|Colombo - South
00237|HINDU COLLEGE|LORENZE RD,COL-04.|0112586169|Western|Colombo|Colombo|Colombo - South
00238|AL AMEEN V.|SIR MAKAN MAKER MW,COL-03.|0112303790|Western|Colombo|Colombo|Colombo - South
00239|ST.MARY'S T.M.V.|LAURIES PLACE,BAMBALAPITIYA,COL-04.|0112598118|Western|Colombo|Colombo|Colombo - South
00240|KOLLUPITIYA METHODIST G.T.M.V.|59,HUDSON RD.,COL-03||Western|Colombo|Colombo|Colombo - South
00241|RAMANATHAN HINDU LADIES COLLEGE|LORENCE RD,COL-04.|0112502228|Western|Colombo|Colombo|Colombo - South
00242|NUGEGODA TAMIL M V|STANLEY THILAKARATNA MW NUGEGODA|0112823550|Western|Colombo|Piliyandala|Dehiwala
00243|MEELAD MUSLIM VIDYALAYA|NO 9, MOOR ROAD,DEHIWALA|0115782668|Western|Colombo|Piliyandala|Dehiwala
00244|DEHIWALA TAMIL M.V|33/3 PRESBYTARIAN LANE OFF STATION ROAD DEHIWALA|0114376977|Western|Colombo|Piliyandala|Dehiwala
00245|SRI JAYAWARDHANAPURA HINDU VIDYALAYA|OBEYSEKARAPURA ROAD,RAJAGIRIYA|0112864010|Western|Colombo|Sri Jaya' pura|Nugegoda
00246|RAJAGIRIYA ROMAN CATHOLIC TAMIL VIDYALAYA.|DHARMAPALA PLACE,RAJAGIRIYA.|0112889338|Western|Colombo|Sri Jaya' pura|Nugegoda
00247|ARFATH MUSLIM VIDYALAYA|EGODAUYANA,MODARA,MORATUWA|0112657979|Western|Colombo|Piliyandala|Moratuwa
00248|SRI SUBHUTHI NATIONAL SCHOOL|BATTARAMULLA.|0112865945|Western|Colombo|Sri Jaya' pura|Kaduwela
00249|SRI RAHULA BALIKA M.V.|MALABE|0112560579|Western|Colombo|Sri Jaya' pura|Kaduwela
00250|BOMIRIYA MADYA MAHA VIDYALAYA|KADUWELA|0112539444|Western|Colombo|Sri Jaya' pura|Kaduwela
00252|THALAHENA MAHA VIDYALAYA.|THALAHENA,MALABE.|0112789388|Western|Colombo|Sri Jaya' pura|Kaduwela
00254|SRI DEWAMITHTHA MAHA VIDYALAYA|DEDIGAMUWA|0112141262|Western|Colombo|Sri Jaya' pura|Kaduwela
00255|MAHAMATHYA VIDYALAYA.|RTHURUGIRIYA|0112561250|Western|Colombo|Sri Jaya' pura|Kaduwela
00256|KOTHALAWALA MAHA VIDYALAYA|KADUWELA.|0112539069|Western|Colombo|Sri Jaya' pura|Kaduwela
00257|KORATHOTA SRI SOMANANDA MAHA VIDYALAYA|KORATHOTA,KADUWELA.|0112408764|Western|Colombo|Sri Jaya' pura|Kaduwela
00258|VIDYAWARDANA MAHA VIDYALAYA|THALANGAMA SOUTH,BATTARAMULLA.|0112784588|Western|Colombo|Sri Jaya' pura|Kaduwela
00259|VIDYARAJA MAHA VIDYALAYA|HOKANDARA.|0112563266|Western|Colombo|Sri Jaya' pura|Kaduwela
00260|WELIVITA ST.MARY'S MAHA VIDYALAYA|WELIVITA,KADUWELA.|0112414219|Western|Colombo|Sri Jaya' pura|Kaduwela
00261|SRI INDRAJOTHI VIDYALAYA|BATTARAMULLA.|0112073542|Western|Colombo|Sri Jaya' pura|Kaduwela
00262|SRI YASODARA MAHA VIDYALAYA|MALAMBE|0112407360|Western|Colombo|Sri Jaya' pura|Kaduwela
00263|PHILIP THILAKAWARDANA M.V.|NAWAGAMUWA, RANALA.|0112408534|Western|Colombo|Sri Jaya' pura|Kaduwela
00264|SRI SEELALANKARA VIDYALAYA|PAHALA BOMIRIYA,KADUWELA.|0112548551|Western|Colombo|Sri Jaya' pura|Kaduwela
00265|DADIGAMUWA JUNIOR SCHOOL|DADIGAMUWA ,RANALA.|0779762603|Western|Colombo|Sri Jaya' pura|Kaduwela
00266|ORUWALA KANISHTA VIDYALAYA|ORUWALA,ATHURUGIRIYA.|0112772934|Western|Colombo|Sri Jaya' pura|Kaduwela
00271|BOMIRIYA MUNIDASA KUMARATHUNGE VIDYALAYA|BOMIRIYA,KADUWELA.|0112539232|Western|Colombo|Sri Jaya' pura|Kaduwela
00275|SRI SUDARSHANA VIDYALAYA|BATAPOTHA ,BATTARAMULLA.|0115626639|Western|Colombo|Sri Jaya' pura|Kaduwela
00276|RATHNA KANISHTA VIDYALAYA|HOKANDARA NORTH,HOKANDARA.|0112156830|Western|Colombo|Sri Jaya' pura|Kaduwela
00278|AVERIHENA VIDYALOKA KANISHTA VIDYALAYA|HOKANDARA NORTH,HOKANDARA|0112156796|Western|Colombo|Sri Jaya' pura|Kaduwela
00281|M.D.H.JAYAWARDANA MAHA VIDYALAYA|THALANGAMA NORTH,BATTARAMULLA.|0112789659|Western|Colombo|Sri Jaya' pura|Kaduwela
00282|BOY'S MODEL SCHOOL|KADUWELA ROAD,MALABE.|0112560056|Western|Colombo|Sri Jaya' pura|Kaduwela
00283|WP HO SEETHAWAKA M M V|AVISSAVELLA|0362222438|Western|Colombo|Homagama|Hanwella
00284|WP HO KOSGAMA M V|KOSGAMA|0362222973|Western|Colombo|Homagama|Hanwella
00285|WP HO ST MARY'S COLLEGE|AVISSAWELLA|0362222781|Western|Colombo|Homagama|Hanwella
00286|WP/HO/ST. JOHN BOSCO'S COLLEGE|KALUAGGALA, HANWELLA.|0362255247|Western|Colombo|Homagama|Hanwella
00288|ESWATHTHA PANDUKABHAYA MAHA VIDYALAYA|ESWATHTHA (NORTH) PUWAKPITIYA|0362232729|Western|Colombo|Homagama|Hanwella
00289|WP HO AKARAVITA M V|AKARAVITA KOSGAMA|0113061033|Western|Colombo|Homagama|Hanwella
00290|WP HO PAGNGNAGULA M V|PAGNGNAGULA THUMMODARA|0112361034|Western|Colombo|Homagama|Hanwella
00291|WP HO KAHAHENA BORALUGODA M V|KAHAHENA WAGA|0362252088|Western|Colombo|Homagama|Hanwella
00292|WAGA SRI RATHANASARA M.V.|THUMMODARA|0362252000|Western|Colombo|Homagama|Paddukka
00294|WP HO ILUKOWITA K V|THUMMODARA|0365682604|Western|Colombo|Homagama|Hanwella
00296|WP HO WELIKANNA ROMAN CATHOLIC K V|WELIKANNA WAGA|0718039562|Western|Colombo|Homagama|Hanwella
00298|W P HO KADUGODA K V|KADUGODA WAGA|0775005310|Western|Colombo|Homagama|Hanwella
00299|KOSGAMA SUMEDHA V.|KOSGAMA|0362253998|Western|Colombo|Homagama|Hanwella
00305|WP HO PUWAKPITIYA SOUTH K V|PUWAKPITIYA|0363367800|Western|Colombo|Homagama|Hanwella
